dataset_id,category,priority,recommended_use,why_it_matters,official_url,official_access_url,api_or_programmatic_url,faster_alt_url,formats,geography,unit_of_analysis,refresh,weights,join_keys,must_have_fields,cautions
ACS_PUMS,microdata,core,"Main cross-sectional estimation file for pay-gap models; strongest public file for geography, commuting, and sample size.","Huge sample; worker, household, commute, and place-of-work variables; state and PUMA geography; annual earnings and wages/salary income.",https://www.census.gov/programs-surveys/acs/microdata.html,https://www.census.gov/programs-surveys/acs/microdata/access.html,https://api.census.gov/data/2024/acs/acs1/pums/variables.html,https://usa.ipums.org/usa/,"CSV, SAS, API, custom IPUMS extracts","Nation, region, division, state, PUMA, limited place-of-work geography",person (plus household file if needed),annual; latest standard files currently include 2024 1-year and 2020-2024 5-year,PWGTP for point estimates; PWGTP1-PWGTP80 for ACS replicate-weight variance,"YEAR + SERIALNO + SPORDER (or IPUMS YEAR + SERIAL + PERNUM); geography keys: STATE, PUMA, POWPUMA, POWSP","SEX, AGEP, SCHL, ESR, COW, OCCP/SOCP, INDP, WAGP, PERNP, PINCP, WKHP, WKWN, JWTRNS, JWMNP, JWAP, JWDP, PUMA, POWPUMA, POWSP, PWGTP","Public files identify sex, not full gender identity. Use ADJINC for dollar variables when needed. Do not compare 2020 ACS 1-year directly to standard ACS years unless you explicitly handle its experimental nature."
CPS_ORG_BASIC_MONTHLY,microdata,core,"Best public source for usual hourly and weekly earnings, usual/actual hours, and overtime/tips/commissions status.",The outgoing-rotation-group (ORG / earner-study) variables are the cleanest free public U.S. hourly-wage source.,https://www.census.gov/data/datasets/time-series/demo/cps/cps-basic.html,https://www.bls.gov/cps/data/public-use-file.htm,https://www.census.gov/data/developers/data-sets/census-microdata-api.CPS.html,https://cps.ipums.org/cps/,"monthly raw files, API metadata, custom IPUMS extracts","Nation, state, limited county/metro indicators in public use",person-month,monthly,Use EARNWT for earnings/ORG variables in IPUMS CPS; use WTFINL for basic monthly non-ORG analyses,YEAR + MONTH + household/person IDs (or IPUMS YEAR + MONTH + SERIAL + PERNUM),"PESEX/SEX, PEEDUCA/EDUC, PEMARITL/MARST, NCHILD or household child measures, PEHRUSL1/UHRSWORKORG, PEHRACT1/AHRSWORKT, PTERNHLY/HOURWAGE, PTERNWA/EARNWEEK, PEERNUOT or OTPAY, PEERNHRO/PAIDHOUR, PRMJIND1/IND, PRMJOCC1/OCC, PEIO1COW/CLASSWKR, geography fields","The clean wage sample is wage-and-salary workers in outgoing rotation groups. For annual estimates, stack 12 monthly files carefully and respect ORG weights."
SIPP,microdata,core,"Best single-file deep-control design: longitudinal worker/household analysis with job-spell detail, commuting, pay type, and family context.","SIPP covers economic well-being, family dynamics, childcare, job spells, hours, pay types, commuting time/miles, union status, and changes over time.",https://www.census.gov/programs-surveys/sipp.html,https://www.census.gov/programs-surveys/sipp/data/datasets.html,,https://www.census.gov/programs-surveys/sipp/guidance/users-guide.html,"SAS, Stata, pipe-delimited text, documentation PDFs/codebooks",National public-use microdata; limited public geography,"person, person-month, and job-spell depending on file design",annual with longitudinal overlaps,Monthly/calendar-year cross-sectional weights WPFINWGT; longitudinal weights FINYRn; use matching replicate weights when publishing,panel/person identifiers from SIPP files; monthcode/year; job-number suffixes for job modules,"sex, age, education, marital/family variables, childcare/family context, job spell start/end, hours, pay rate, overtime/bonus/tips/commission fields, minutes-to-work (e.g., TJB(n)_PVTIME), commute miles (e.g., TJB(n)_PVMILE), commute mode variables, days worked, time away without pay, union membership",Variable names often depend on topical module/job number; use the year-specific codebook search and users guide instead of hard-coding every raw field name up front.
ATUS,microdata,core_support,"Mechanism layer for unpaid care, housework, daily scheduling, work-at-home, and commute-related travel.",Only federal survey measuring the full range of nonmarket activities with diary timing and location; ideal for work/family/time-constraint channels.,https://www.bls.gov/tus/,https://www.bls.gov/tus/datafiles.htm,,https://www.atusdata.org/,"CSV zip bundles, syntax files, custom ATUS-X extracts",National; linked CPS geography where available,respondent-day and activity episode,annual,"Single-year: TUFINLWGT (2006-2019, 2021+), TU20FWGT for 2020; pooled early years use TU06FWGT for 2003-2005; multi-year activity/respondent files may use TUFNWGTP",TUCASEID / respondent ID plus line number; link to ATUS-CPS file,"activity codes, duration, start/stop times, activity location, who-with variables, respondent file, ATUS-CPS linked employment/earnings fields, commute/work-travel activity categories","Time use is person-day rather than person-year. Keep it as a mechanism module, not a naïve merge onto every ACS/CPS observation."
QWI,context,core_support,"Local labor-market context by geography, industry, sex, education, firm size, and firm age.",Adds external wage/employment context and firm-composition structure that public person-level files cannot reveal directly.,https://lehd.ces.census.gov/data/,https://www.census.gov/data/developers/data-sets/qwi.html,https://api.census.gov/data/timeseries/qwi/,,"API, downloadable tables","State, county, workforce investment areas, and more",aggregated cell (geo x time x sex x education x industry x firm characteristics),quarterly / annual depending extraction,not survey microdata; published tabulations,"year/quarter, state/county, industry, sex, education, firm size/age","EarnS, EmpS, sex, education, industry, firmsize, firmage, geocodes, time","QWI is contextual, not person-level. Use it as merged external features, not as a replacement for microdata."
LAUS,context,core_support,Local unemployment and labor-force context.,Controls for business-cycle and local labor-market conditions by state/county/metro/city.,https://www.bls.gov/lau/,https://download.bls.gov/pub/time.series/la/,https://www.bls.gov/bls/api_features.htm,,"BLS time series, downloadable text, API","Nation, state, county, metro, city/town and other local areas",area-month,monthly,published estimates,area code + month/year,"unemployment rate, employment, labor force","Choose a stable geographic target (state, county, or CBSA) early so merges stay consistent across datasets."
QCEW,context,core_support,County/industry employment and quarterly wage context; near-census of covered employment.,"Excellent external controls for industry wage levels, concentration, and local labor demand.",https://www.bls.gov/cew/,https://www.bls.gov/cew/additional-resources/open-data/,,,"CSV slices, zipped historical files","county, state, national",area x NAICS x quarter,quarterly,published census-like counts,"county/state FIPS, NAICS, year, quarter","employment, total wages, average weekly wage, ownership, establishment counts",Disclosure suppressions exist in narrow cells; build fallbacks to higher aggregation levels.
OEWS,context,optional_support,Occupation-region wage benchmark / occupational context.,Adds local occupational wage norms that complement person-level occupation dummies.,https://www.bls.gov/oes/,https://www.bls.gov/oes/tables.htm,,,"tables, research estimates by state/industry","national, state, metro, nonmetro, industry",occupation x geography x year,annual,published estimates,"SOC code, geography, year","employment, median wage, mean wage, wage percentiles",Public geography and occupation definitions vary slightly over time; harmonize SOC vintages.
ONET,context,core_support,"Occupation task, skill, education, training, and work-context features.","Gives structured occupation-level controls beyond coarse occupation dummies: time pressure, physical proximity, structured work, required education, etc.",https://www.onetcenter.org/database.html,https://www.onetcenter.org/database.html#all-files,,,"xlsx, txt, sql downloads",national occupation-level,occupation (O*NET-SOC),periodic versioned releases,not survey microdata,SOC/O*NET SOC crosswalk to 2018 SOC,"Job Zones, Education/Training/Experience, Work Context, Skills, Work Activities, crosswalk tables",You must standardize occupational codes to a single SOC vintage before merging.
LODES,context,optional_support,Fine-grained neighborhood commuting and job-density context.,Useful if you want tract/block-level residence-work environment proxies beyond individual commute reports.,https://lehd.ces.census.gov/data/lodes/,https://onthemap.ces.census.gov/,,,CSV gz files,census block and higher aggregations,aggregated home/work/origin-destination cells,annual-ish releases,published counts,geocode blocks/tract/county/state,"home area characteristics, work area characteristics, origin-destination flows",Not person-level. Use only if your project truly needs neighborhood commuting context.
