date_label,expected_offer_wage_mean,expected_offer_wage_women,expected_offer_wage_men,reservation_wage_mean,reservation_wage_women,reservation_wage_men,date,expected_offer_wage_gap_men_minus_women,reservation_wage_gap_men_minus_women
Mar 2014,,,,52.72540283203125,46.4772834777832,58.83024978637695,2014-03-01,,12.35296630859375
Jul 2014,48.82914733886719,41.099308013916016,55.375614166259766,54.47053527832031,45.088531494140625,63.717681884765625,2014-07-01,14.27630615234375,18.629150390625
Nov 2014,45.96425247192383,38.69437789916992,51.62392807006836,53.41109848022461,44.19865417480469,61.9574089050293,2014-11-01,12.929550170898438,17.75875473022461
Mar 2015,51.51625061035156,44.25794982910156,57.51527786254883,55.75843048095703,47.531044006347656,63.639892578125,2015-03-01,13.257328033447266,16.108848571777344
Jul 2015,52.13130569458008,44.49839401245117,58.450477600097656,58.914363861083984,51.44078826904297,65.82848358154297,2015-07-01,13.952083587646484,14.3876953125
Nov 2015,50.30657196044922,41.738826751708984,58.45496368408203,60.373104095458984,50.11466598510742,70.21151733398438,2015-11-01,16.716136932373047,20.096851348876953
Mar 2016,52.821388244628906,43.16263198852539,62.178932189941406,60.85692596435547,49.090660095214844,71.49181365966797,2016-03-01,19.016300201416016,22.401153564453125
Jul 2016,50.45447540283203,43.61794662475586,57.401092529296875,59.04222869873047,49.998504638671875,68.35697174072266,2016-07-01,13.783145904541016,18.35846710205078
Nov 2016,51.895042419433594,43.752201080322266,60.49927520751953,62.45621109008789,52.78059387207031,72.35600280761719,2016-11-01,16.747074127197266,19.575408935546875
Mar 2017,54.58944320678711,46.56419372558594,62.66975021362305,59.6566162109375,49.827064514160156,70.79141235351562,2017-03-01,16.10555648803711,20.96434783935547
Jul 2017,50.78996276855469,43.190330505371094,58.61857223510742,57.96366882324219,48.375919342041016,68.50578308105469,2017-07-01,15.428241729736328,20.129863739013672
Nov 2017,49.85514831542969,42.25095748901367,56.59718322753906,56.85784912109375,48.12561798095703,65.44424438476562,2017-11-01,14.34622573852539,17.318626403808594
Mar 2018,52.14082336425781,42.62763214111328,59.65289306640625,60.27357482910156,49.770328521728516,70.01221466064453,2018-03-01,17.02526092529297,20.241886138916016
